found,as_link,r_link,sid,rid,subject,type
True,True,True,1714,547,"Soldiers--United States--Diaries",topical
True,True,True,1714,548,"Soldiers--United States--Diaries",topical
True,True,True,1714,498,"Soldiers--United States--Diaries",topical
True,True,True,1714,570,"Soldiers--United States--Diaries",topical
True,True,True,1715,2153,"Soldiers--United States--Interviews",topical
True,True,True,1716,687,"Spanish-American War, 1898--Campaigns--Cuba",topical
True,True,True,1717,368,"Strikes and lockouts--Coal mining--Kentucky",topical
True,True,True,1718,2157,"Tobacco--Law and legislation--United States",topical
True,True,True,1718,565,"Tobacco--Law and legislation--United States",topical
True,True,True,1719,565,"Tobacco--Taxation--United States",topical
